Sr.No.,Element Name,Period,Unit,Decimals,Fact Value
1,ScripCode,01-10-2023 To 31-12-2023,,,532532
2,Symbol,01-10-2023 To 31-12-2023,,,JPASSOCIAT
3,MSEISymbol,01-10-2023 To 31-12-2023,,,NOTLISTED
4,NameOfTheCompany,01-10-2023 To 31-12-2023,,,Jaiprakash Associates Limited
5,ClassOfSecurity,01-10-2023 To 31-12-2023,,,Equity
6,DateOfStartOfFinancialYear,01-10-2023 To 31-12-2023,,,2023-04-01
7,DateOfEndOfFinancialYear,01-10-2023 To 31-12-2023,,,2024-03-31
8,DateOfBoardMeetingWhenFinancialResultsWereApproved,01-10-2023 To 31-12-2023,,,2024-01-30
9,DateOnWhichPriorIntimationOfTheMeetingForConsideringFinancialResultsWasInformedToTheExchange,01-10-2023 To 31-12-2023,,,2024-01-23
10,DescriptionOfPresentationCurrency,01-10-2023 To 31-12-2023,,,INR
11,LevelOfRoundingUsedInFinancialStatements,01-10-2023 To 31-12-2023,,,Lakhs
12,ReportingQuarter,01-10-2023 To 31-12-2023,,,Third quarter
13,StartTimeOfBoardMeeting,01-10-2023 To 31-12-2023,,,16:30:00
14,EndTimeOfBoardMeeting,01-10-2023 To 31-12-2023,,,18:05:00
15,DateOfStartOfBoardMeeting,01-10-2023 To 31-12-2023,,,2024-01-30
16,DateOfEndOfBoardMeeting,01-10-2023 To 31-12-2023,,,2024-01-30
17,DeclarationOfUnmodifiedOpinionOrStatementOnImpactOfAuditQualification,01-10-2023 To 31-12-2023,,,Not applicable
18,IsCompanyReportingMultisegmentOrSingleSegment,01-10-2023 To 31-12-2023,,,Multi segment
19,DateOfStartOfReportingPeriod,01-10-2023 To 31-12-2023,,,2023-10-01
20,DateOfEndOfReportingPeriod,01-10-2023 To 31-12-2023,,,2023-12-31
21,WhetherResultsAreAuditedOrUnaudited,01-10-2023 To 31-12-2023,,,Unaudited
22,NatureOfReportStandaloneConsolidated,01-10-2023 To 31-12-2023,,,Consolidated
23,RevenueFromOperations,01-10-2023 To 31-12-2023,OneD,-5.0,15025900000.00
24,OtherIncome,01-10-2023 To 31-12-2023,OneD,-5.0,559900000.00
25,Income,01-10-2023 To 31-12-2023,OneD,-5.0,15585800000.00
26,CostOfMaterialsConsumed,01-10-2023 To 31-12-2023,OneD,-5.0,7595500000.00
27,PurchasesOfStockInTrade,01-10-2023 To 31-12-2023,OneD,-5.0,315400000.00
28,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,01-10-2023 To 31-12-2023,OneD,-5.0,-122500000.00
29,EmployeeBenefitExpense,01-10-2023 To 31-12-2023,OneD,-5.0,986000000.00
30,FinanceCosts,01-10-2023 To 31-12-2023,OneD,-5.0,2705000000.00
31,DepreciationDepletionAndAmortisationExpense,01-10-2023 To 31-12-2023,OneD,-5.0,963100000.00
32,OtherExpenses,01-10-2023 To 31-12-2023,OneD,-5.0,5282300000.00
33,Expenses,01-10-2023 To 31-12-2023,OneD,-5.0,17724800000.00
34,ProfitBeforeExceptionalItemsAndTax,01-10-2023 To 31-12-2023,OneD,-5.0,-2139000000.00
35,ExceptionalItemsBeforeTax,01-10-2023 To 31-12-2023,OneD,-5.0,-2378000000.00
36,ProfitBeforeTax,01-10-2023 To 31-12-2023,OneD,-5.0,-4517000000.00
37,CurrentTax,01-10-2023 To 31-12-2023,OneD,-5.0,179600000.00
38,DeferredTax,01-10-2023 To 31-12-2023,OneD,-5.0,-11100000.00
39,TaxExpense,01-10-2023 To 31-12-2023,OneD,-5.0,168500000.00
40,NetMovementInRegulatoryDeferralAccountBalancesRelatedToProfitOrLossAndTheRelatedDeferredTaxMovement,01-10-2023 To 31-12-2023,OneD,-5.0,0.00
41,ProfitLossForPeriodFromContinuingOperations,01-10-2023 To 31-12-2023,OneD,-5.0,-4685500000.00
42,ProfitLossFromDiscontinuedOperationsBeforeTax,01-10-2023 To 31-12-2023,OneD,-5.0,-650300000.00
43,TaxExpenseOfDiscontinuedOperations,01-10-2023 To 31-12-2023,OneD,-5.0,0.00
44,ProfitLossFromDiscontinuedOperationsAfterTax,01-10-2023 To 31-12-2023,OneD,-5.0,-650300000.00
45,ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,01-10-2023 To 31-12-2023,OneD,-5.0,574600000.00
46,ProfitLossForPeriod,01-10-2023 To 31-12-2023,OneD,-5.0,-4761200000.00
47,OtherComprehensiveIncomeNetOfTaxes,01-10-2023 To 31-12-2023,OneD,-5.0,-100000.00
48,ComprehensiveIncomeForThePeriod,01-10-2023 To 31-12-2023,OneD,-5.0,-4761300000.00
49,ProfitOrLossAttributableToOwnersOfParent,01-10-2023 To 31-12-2023,OneD,-5.0,-4738300000.00
50,ProfitOrLossAttributableToNonControllingInterests,01-10-2023 To 31-12-2023,OneD,-5.0,-22900000.00
51,ComprehensiveIncomeForThePeriodAttributableToOwnersOfParent,01-10-2023 To 31-12-2023,OneD,-5.0,-4738400000.00
52,ComprehensiveIncomeForThePeriodAttributableToOwnersOfParentNonControllingInterests,01-10-2023 To 31-12-2023,OneD,-5.0,-22900000.00
53,PaidUpValueOfEquityShareCapital,01-10-2023 To 31-12-2023,OneD,-5.0,4909200000.00
54,FaceValueOfEquityShareCapital,01-10-2023 To 31-12-2023,OneD,,2
55,BasicEarningsLossPerShareFromContinuingOperations,01-10-2023 To 31-12-2023,OneD,,-1.67
56,DilutedEarningsLossPerShareFromContinuingOperations,01-10-2023 To 31-12-2023,OneD,,-1.67
57,BasicEarningsLossPerShareFromDiscontinuedOperations,01-10-2023 To 31-12-2023,OneD,,-0.26
58,DilutedEarningsLossPerShareFromDiscontinuedOperations,01-10-2023 To 31-12-2023,OneD,,-0.26
59,BasicEarningsLossPerShareFromContinuingAndDiscontinuedOperations,01-10-2023 To 31-12-2023,OneD,,-1.93
60,DilutedEarningsLossPerShareFromContinuingAndDiscontinuedOperations,01-10-2023 To 31-12-2023,OneD,,-1.93
61,IsCompanyReportingMultisegmentOrSingleSegment,01-10-2023 To 31-12-2023,,,Multi segment
62,DateOfStartOfReportingPeriod,01-10-2023 To 31-12-2023,,,2023-04-01
63,DateOfEndOfReportingPeriod,01-10-2023 To 31-12-2023,,,2023-12-31
64,WhetherResultsAreAuditedOrUnaudited,01-10-2023 To 31-12-2023,,,Unaudited
65,NatureOfReportStandaloneConsolidated,01-10-2023 To 31-12-2023,,,Consolidated
66,RevenueFromOperations,01-10-2023 To 31-12-2023,FourD,-5.0,48271600000.00
67,OtherIncome,01-10-2023 To 31-12-2023,FourD,-5.0,1795500000.00
68,Income,01-10-2023 To 31-12-2023,FourD,-5.0,50067100000.00
69,CostOfMaterialsConsumed,01-10-2023 To 31-12-2023,FourD,-5.0,21100100000.00
70,PurchasesOfStockInTrade,01-10-2023 To 31-12-2023,FourD,-5.0,471100000.00
71,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,01-10-2023 To 31-12-2023,FourD,-5.0,166200000.00
72,EmployeeBenefitExpense,01-10-2023 To 31-12-2023,FourD,-5.0,2993600000.00
73,FinanceCosts,01-10-2023 To 31-12-2023,FourD,-5.0,7492800000.00
74,DepreciationDepletionAndAmortisationExpense,01-10-2023 To 31-12-2023,FourD,-5.0,2894400000.00
75,OtherExpenses,01-10-2023 To 31-12-2023,FourD,-5.0,20891000000.00
76,Expenses,01-10-2023 To 31-12-2023,FourD,-5.0,56009200000.00
77,ProfitBeforeExceptionalItemsAndTax,01-10-2023 To 31-12-2023,FourD,-5.0,-5942100000.00
78,ExceptionalItemsBeforeTax,01-10-2023 To 31-12-2023,FourD,-5.0,-2276400000.00
79,ProfitBeforeTax,01-10-2023 To 31-12-2023,FourD,-5.0,-8218500000.00
80,CurrentTax,01-10-2023 To 31-12-2023,FourD,-5.0,388100000.00
81,DeferredTax,01-10-2023 To 31-12-2023,FourD,-5.0,-114800000.00
82,TaxExpense,01-10-2023 To 31-12-2023,FourD,-5.0,273300000.00
83,NetMovementInRegulatoryDeferralAccountBalancesRelatedToProfitOrLossAndTheRelatedDeferredTaxMovement,01-10-2023 To 31-12-2023,FourD,-5.0,0.00
84,ProfitLossForPeriodFromContinuingOperations,01-10-2023 To 31-12-2023,FourD,-5.0,-8491800000.00
85,ProfitLossFromDiscontinuedOperationsBeforeTax,01-10-2023 To 31-12-2023,FourD,-5.0,-1620400000.00
86,TaxExpenseOfDiscontinuedOperations,01-10-2023 To 31-12-2023,FourD,-5.0,0.00
87,ProfitLossFromDiscontinuedOperationsAfterTax,01-10-2023 To 31-12-2023,FourD,-5.0,-1620400000.00
88,ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,01-10-2023 To 31-12-2023,FourD,-5.0,1035200000.00
89,ProfitLossForPeriod,01-10-2023 To 31-12-2023,FourD,-5.0,-9077000000.00
90,OtherComprehensiveIncomeNetOfTaxes,01-10-2023 To 31-12-2023,FourD,-5.0,800000.00
91,ComprehensiveIncomeForThePeriod,01-10-2023 To 31-12-2023,FourD,-5.0,-9076200000.00
92,ProfitOrLossAttributableToOwnersOfParent,01-10-2023 To 31-12-2023,FourD,-5.0,-9005500000.00
93,ProfitOrLossAttributableToNonControllingInterests,01-10-2023 To 31-12-2023,FourD,-5.0,-71500000.00
94,ComprehensiveIncomeForThePeriodAttributableToOwnersOfParent,01-10-2023 To 31-12-2023,FourD,-5.0,-9004800000.00
95,ComprehensiveIncomeForThePeriodAttributableToOwnersOfParentNonControllingInterests,01-10-2023 To 31-12-2023,FourD,-5.0,-71400000.00
96,PaidUpValueOfEquityShareCapital,01-10-2023 To 31-12-2023,FourD,-5.0,4909200000.00
97,FaceValueOfEquityShareCapital,01-10-2023 To 31-12-2023,FourD,,2
98,BasicEarningsLossPerShareFromContinuingOperations,01-10-2023 To 31-12-2023,FourD,,-3.01
99,DilutedEarningsLossPerShareFromContinuingOperations,01-10-2023 To 31-12-2023,FourD,,-3.01
100,BasicEarningsLossPerShareFromDiscontinuedOperations,01-10-2023 To 31-12-2023,FourD,,-0.66
101,DilutedEarningsLossPerShareFromDiscontinuedOperations,01-10-2023 To 31-12-2023,FourD,,-0.66
102,BasicEarningsLossPerShareFromContinuingAndDiscontinuedOperations,01-10-2023 To 31-12-2023,FourD,,-3.67
103,DilutedEarningsLossPerShareFromContinuingAndDiscontinuedOperations,01-10-2023 To 31-12-2023,FourD,,-3.67
104,DescriptionOfOtherExpenses,01-10-2023 To 31-12-2023,,,"Direct Construction, Manufacturing, Real Estate, Infrastructure, Hotel/Hospitality, Event & Power Expenses"
105,OtherExpenses,01-10-2023 To 31-12-2023,OneOperatingExpenses01D,-5.0,4278200000.00
106,DescriptionOfOtherExpenses,01-10-2023 To 31-12-2023,,,Other Expenses
107,OtherExpenses,01-10-2023 To 31-12-2023,OneOperatingExpenses02D,-5.0,1004100000.00
