Sr.No.,Element Name,Period,Unit,Decimals,Fact Value
1,ScripCode,01-04-2023 To 30-06-2023,,,532532
2,Symbol,01-04-2023 To 30-06-2023,,,JPASSOCIAT
3,MSEISymbol,01-04-2023 To 30-06-2023,,,NOTLISTED
4,NameOfTheCompany,01-04-2023 To 30-06-2023,,,Jaiprakash Associates Limited
5,ClassOfSecurity,01-04-2023 To 30-06-2023,,,Equity
6,DateOfStartOfFinancialYear,01-04-2023 To 30-06-2023,,,2023-04-01
7,DateOfEndOfFinancialYear,01-04-2023 To 30-06-2023,,,2024-03-31
8,DateOfBoardMeetingWhenFinancialResultsWereApproved,01-04-2023 To 30-06-2023,,,2023-08-05
9,DateOnWhichPriorIntimationOfTheMeetingForConsideringFinancialResultsWasInformedToTheExchange,01-04-2023 To 30-06-2023,,,2023-07-26
10,DescriptionOfPresentationCurrency,01-04-2023 To 30-06-2023,,,INR
11,LevelOfRoundingUsedInFinancialStatements,01-04-2023 To 30-06-2023,,,Lakhs
12,ReportingQuarter,01-04-2023 To 30-06-2023,,,First quarter
13,StartTimeOfBoardMeeting,01-04-2023 To 30-06-2023,,,12:00:00
14,EndTimeOfBoardMeeting,01-04-2023 To 30-06-2023,,,13:58:00
15,DateOfStartOfBoardMeeting,01-04-2023 To 30-06-2023,,,2023-08-05
16,DateOfEndOfBoardMeeting,01-04-2023 To 30-06-2023,,,2023-08-05
17,DeclarationOfUnmodifiedOpinionOrStatementOnImpactOfAuditQualification,01-04-2023 To 30-06-2023,,,Not applicable
18,IsCompanyReportingMultisegmentOrSingleSegment,01-04-2023 To 30-06-2023,,,Multi segment
19,DateOfStartOfReportingPeriod,01-04-2023 To 30-06-2023,,,2023-04-01
20,DateOfEndOfReportingPeriod,01-04-2023 To 30-06-2023,,,2023-06-30
21,WhetherResultsAreAuditedOrUnaudited,01-04-2023 To 30-06-2023,,,Unaudited
22,NatureOfReportStandaloneConsolidated,01-04-2023 To 30-06-2023,,,Consolidated
23,RevenueFromOperations,01-04-2023 To 30-06-2023,OneD,-5.0,14290600000.00
24,OtherIncome,01-04-2023 To 30-06-2023,OneD,-5.0,761700000.00
25,Income,01-04-2023 To 30-06-2023,OneD,-5.0,15052300000.00
26,CostOfMaterialsConsumed,01-04-2023 To 30-06-2023,OneD,-5.0,6714000000.00
27,PurchasesOfStockInTrade,01-04-2023 To 30-06-2023,OneD,-5.0,54900000.00
28,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,01-04-2023 To 30-06-2023,OneD,-5.0,261000000.00
29,EmployeeBenefitExpense,01-04-2023 To 30-06-2023,OneD,-5.0,992200000.00
30,FinanceCosts,01-04-2023 To 30-06-2023,OneD,-5.0,2255100000.00
31,DepreciationDepletionAndAmortisationExpense,01-04-2023 To 30-06-2023,OneD,-5.0,970500000.00
32,OtherExpenses,01-04-2023 To 30-06-2023,OneD,-5.0,5486400000.00
33,Expenses,01-04-2023 To 30-06-2023,OneD,-5.0,16734100000.00
34,ProfitBeforeExceptionalItemsAndTax,01-04-2023 To 30-06-2023,OneD,-5.0,-1681800000.00
35,ExceptionalItemsBeforeTax,01-04-2023 To 30-06-2023,OneD,-5.0,0.00
36,ProfitBeforeTax,01-04-2023 To 30-06-2023,OneD,-5.0,-1681800000.00
37,CurrentTax,01-04-2023 To 30-06-2023,OneD,-5.0,158900000.00
38,DeferredTax,01-04-2023 To 30-06-2023,OneD,-5.0,-86300000.00
39,TaxExpense,01-04-2023 To 30-06-2023,OneD,-5.0,72600000.00
40,NetMovementInRegulatoryDeferralAccountBalancesRelatedToProfitOrLossAndTheRelatedDeferredTaxMovement,01-04-2023 To 30-06-2023,OneD,-5.0,0.00
41,ProfitLossForPeriodFromContinuingOperations,01-04-2023 To 30-06-2023,OneD,-5.0,-1754400000.00
42,ProfitLossFromDiscontinuedOperationsBeforeTax,01-04-2023 To 30-06-2023,OneD,-5.0,-541200000.00
43,TaxExpenseOfDiscontinuedOperations,01-04-2023 To 30-06-2023,OneD,-5.0,0.00
44,ProfitLossFromDiscontinuedOperationsAfterTax,01-04-2023 To 30-06-2023,OneD,-5.0,-541200000.00
45,ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,01-04-2023 To 30-06-2023,OneD,-5.0,460700000.00
46,ProfitLossForPeriod,01-04-2023 To 30-06-2023,OneD,-5.0,-1834900000.00
47,OtherComprehensiveIncomeNetOfTaxes,01-04-2023 To 30-06-2023,OneD,-5.0,1300000.00
