Sr.No.,Element Name,Period,Unit,Decimals,Fact Value
1,ScripCode,01-01-2024 To 31-03-2024,,,532532
2,Symbol,01-01-2024 To 31-03-2024,,,JPASSOCIAT
3,MSEISymbol,01-01-2024 To 31-03-2024,,,NOTLISTED
4,NameOfTheCompany,01-01-2024 To 31-03-2024,,,Jaiprakash Associates Limited
5,ClassOfSecurity,01-01-2024 To 31-03-2024,,,Equity
6,DateOfStartOfFinancialYear,01-01-2024 To 31-03-2024,,,2023-04-01
7,DateOfEndOfFinancialYear,01-01-2024 To 31-03-2024,,,2024-03-31
8,DateOfBoardMeetingWhenFinancialResultsWereApproved,01-01-2024 To 31-03-2024,,,2024-05-11
9,DateOnWhichPriorIntimationOfTheMeetingForConsideringFinancialResultsWasInformedToTheExchange,01-01-2024 To 31-03-2024,,,2024-05-04
10,DescriptionOfPresentationCurrency,01-01-2024 To 31-03-2024,,,INR
11,LevelOfRoundingUsedInFinancialStatements,01-01-2024 To 31-03-2024,,,Lakhs
12,ReportingQuarter,01-01-2024 To 31-03-2024,,,Yearly
13,StartTimeOfBoardMeeting,01-01-2024 To 31-03-2024,,,16:00:00
14,EndTimeOfBoardMeeting,01-01-2024 To 31-03-2024,,,18:40:00
15,DateOfStartOfBoardMeeting,01-01-2024 To 31-03-2024,,,2024-05-11
16,DateOfEndOfBoardMeeting,01-01-2024 To 31-03-2024,,,2024-05-11
17,WhetherCashFlowStatementIsApplicableOnCompany,01-01-2024 To 31-03-2024,,,true
18,TypeOfCashFlowStatement,01-01-2024 To 31-03-2024,,,Cash Flow Indirect
19,DeclarationOfUnmodifiedOpinionOrStatementOnImpactOfAuditQualification,01-01-2024 To 31-03-2024,,,Statement on impact of audit qualification
20,IsCompanyReportingMultisegmentOrSingleSegment,01-01-2024 To 31-03-2024,,,Multi segment
21,DateOfStartOfReportingPeriod,01-01-2024 To 31-03-2024,,,2024-01-01
22,DateOfEndOfReportingPeriod,01-01-2024 To 31-03-2024,,,2024-03-31
23,WhetherResultsAreAuditedOrUnaudited,01-01-2024 To 31-03-2024,,,Audited
24,NatureOfReportStandaloneConsolidated,01-01-2024 To 31-03-2024,,,Consolidated
25,RevenueFromOperations,01-01-2024 To 31-03-2024,OneD,-5.0,17409300000.00
26,OtherIncome,01-01-2024 To 31-03-2024,OneD,-5.0,341500000.00
27,Income,01-01-2024 To 31-03-2024,OneD,-5.0,17750800000.00
