Sr.No.,Element Name,Period,Unit,Decimals,Fact Value
1,ScripCode,01-01-2023 To 31-03-2023,,,532532
2,Symbol,01-01-2023 To 31-03-2023,,,JPASSOCIAT
3,MSEISymbol,01-01-2023 To 31-03-2023,,,NOTLISTED
4,NameOfTheCompany,01-01-2023 To 31-03-2023,,,Jaiprakash Associates Limited
5,ClassOfSecurity,01-01-2023 To 31-03-2023,,,Equity
6,DateOfStartOfFinancialYear,01-01-2023 To 31-03-2023,,,2022-04-01
7,DateOfEndOfFinancialYear,01-01-2023 To 31-03-2023,,,2023-03-31
8,DateOfBoardMeetingWhenFinancialResultsWereApproved,01-01-2023 To 31-03-2023,,,2023-05-27
9,DateOnWhichPriorIntimationOfTheMeetingForConsideringFinancialResultsWasInformedToTheExchange,01-01-2023 To 31-03-2023,,,2023-05-19
10,DescriptionOfPresentationCurrency,01-01-2023 To 31-03-2023,,,INR
11,LevelOfRoundingUsedInFinancialStatements,01-01-2023 To 31-03-2023,,,Lakhs
12,ReportingQuarter,01-01-2023 To 31-03-2023,,,Yearly
13,StartTimeOfBoardMeeting,01-01-2023 To 31-03-2023,,,16:00:00
14,EndTimeOfBoardMeeting,01-01-2023 To 31-03-2023,,,17:18:00
15,DateOfStartOfBoardMeeting,01-01-2023 To 31-03-2023,,,2023-05-27
16,DateOfEndOfBoardMeeting,01-01-2023 To 31-03-2023,,,2023-05-27
17,WhetherCashFlowStatementIsApplicableOnCompany,01-01-2023 To 31-03-2023,,,true
18,TypeOfCashFlowStatement,01-01-2023 To 31-03-2023,,,Cash Flow Indirect
19,DeclarationOfUnmodifiedOpinionOrStatementOnImpactOfAuditQualification,01-01-2023 To 31-03-2023,,,Statement on impact of audit qualification
20,IsCompanyReportingMultisegmentOrSingleSegment,01-01-2023 To 31-03-2023,,,Multi segment
21,DateOfStartOfReportingPeriod,01-01-2023 To 31-03-2023,,,2023-01-01
22,DateOfEndOfReportingPeriod,01-01-2023 To 31-03-2023,,,2023-03-31
23,WhetherResultsAreAuditedOrUnaudited,01-01-2023 To 31-03-2023,,,Audited
24,NatureOfReportStandaloneConsolidated,01-01-2023 To 31-03-2023,,,Consolidated
25,RevenueFromOperations,01-01-2023 To 31-03-2023,OneD,-5.0,19077400000.00
26,OtherIncome,01-01-2023 To 31-03-2023,OneD,-5.0,421300000.00
27,Income,01-01-2023 To 31-03-2023,OneD,-5.0,19498700000.00
28,CostOfMaterialsConsumed,01-01-2023 To 31-03-2023,OneD,-5.0,8418100000.00
29,PurchasesOfStockInTrade,01-01-2023 To 31-03-2023,OneD,-5.0,-432000000.00
30,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,01-01-2023 To 31-03-2023,OneD,-5.0,-36600000.00
31,EmployeeBenefitExpense,01-01-2023 To 31-03-2023,OneD,-5.0,1064000000.00
32,FinanceCosts,01-01-2023 To 31-03-2023,OneD,-5.0,1739100000.00
33,DepreciationDepletionAndAmortisationExpense,01-01-2023 To 31-03-2023,OneD,-5.0,771100000.00
34,OtherExpenses,01-01-2023 To 31-03-2023,OneD,-5.0,7457900000.00
35,Expenses,01-01-2023 To 31-03-2023,OneD,-5.0,18981600000.00
36,ProfitBeforeExceptionalItemsAndTax,01-01-2023 To 31-03-2023,OneD,-5.0,517100000.00
37,ExceptionalItemsBeforeTax,01-01-2023 To 31-03-2023,OneD,-5.0,-2005300000.00
38,ProfitBeforeTax,01-01-2023 To 31-03-2023,OneD,-5.0,-1488200000.00
39,CurrentTax,01-01-2023 To 31-03-2023,OneD,-5.0,77400000.00
40,DeferredTax,01-01-2023 To 31-03-2023,OneD,-5.0,-8200000.00
41,TaxExpense,01-01-2023 To 31-03-2023,OneD,-5.0,69200000.00
42,NetMovementInRegulatoryDeferralAccountBalancesRelatedToProfitOrLossAndTheRelatedDeferredTaxMovement,01-01-2023 To 31-03-2023,OneD,-5.0,0.00
43,ProfitLossForPeriodFromContinuingOperations,01-01-2023 To 31-03-2023,OneD,-5.0,-1557400000.00
44,ProfitLossFromDiscontinuedOperationsBeforeTax,01-01-2023 To 31-03-2023,OneD,-5.0,-1496000000.00
45,TaxExpenseOfDiscontinuedOperations,01-01-2023 To 31-03-2023,OneD,-5.0,-400000.00
46,ProfitLossFromDiscontinuedOperationsAfterTax,01-01-2023 To 31-03-2023,OneD,-5.0,-1495600000.00
47,ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,01-01-2023 To 31-03-2023,OneD,-5.0,-103700000.00
48,ProfitLossForPeriod,01-01-2023 To 31-03-2023,OneD,-5.0,-3156700000.00
49,OtherComprehensiveIncomeNetOfTaxes,01-01-2023 To 31-03-2023,OneD,-5.0,44300000.00
50,ComprehensiveIncomeForThePeriod,01-01-2023 To 31-03-2023,OneD,-5.0,-3112400000.00
51,ProfitOrLossAttributableToOwnersOfParent,01-01-2023 To 31-03-2023,OneD,-5.0,-3217800000.00
52,ProfitOrLossAttributableToNonControllingInterests,01-01-2023 To 31-03-2023,OneD,-5.0,61100000.00
53,ComprehensiveIncomeForThePeriodAttributableToOwnersOfParent,01-01-2023 To 31-03-2023,OneD,-5.0,-3172900000.00
54,ComprehensiveIncomeForThePeriodAttributableToOwnersOfParentNonControllingInterests,01-01-2023 To 31-03-2023,OneD,-5.0,60500000.00
55,PaidUpValueOfEquityShareCapital,01-01-2023 To 31-03-2023,OneD,-5.0,4909200000.00
56,FaceValueOfEquityShareCapital,01-01-2023 To 31-03-2023,OneD,,2
57,BasicEarningsLossPerShareFromContinuingOperations,01-01-2023 To 31-03-2023,OneD,,-0.70
58,DilutedEarningsLossPerShareFromContinuingOperations,01-01-2023 To 31-03-2023,OneD,,-0.70
59,BasicEarningsLossPerShareFromDiscontinuedOperations,01-01-2023 To 31-03-2023,OneD,,-0.61
60,DilutedEarningsLossPerShareFromDiscontinuedOperations,01-01-2023 To 31-03-2023,OneD,,-0.61
61,BasicEarningsLossPerShareFromContinuingAndDiscontinuedOperations,01-01-2023 To 31-03-2023,OneD,,-1.31
