Sr.No.,Element Name,Period,Unit,Decimals,Fact Value
1,ScripCode,01-07-2022 To 30-09-2022,,,532532
2,Symbol,01-07-2022 To 30-09-2022,,,JPASSOCIAT
3,ISIN,01-07-2022 To 30-09-2022,,,INE455F01025
4,NameOfTheCompany,01-07-2022 To 30-09-2022,,,JPASSOCIAT
5,ClassOfSecurity,01-07-2022 To 30-09-2022,,,Equity
6,DateOfStartOfFinancialYear,01-07-2022 To 30-09-2022,,,2022-04-01
7,DateOfEndOfFinancialYear,01-07-2022 To 30-09-2022,,,2023-03-31
8,DateOfBoardMeetingWhenFinancialResultsWereApproved,01-07-2022 To 30-09-2022,,,2022-11-12
9,DateOnWhichPriorIntimationOfTheMeetingForConsideringFinancialResultsWasInformedToTheExchange,01-07-2022 To 30-09-2022,,,2022-11-03
10,DescriptionOfPresentationCurrency,01-07-2022 To 30-09-2022,,,INR
11,LevelOfRoundingUsedInFinancialStatements,01-07-2022 To 30-09-2022,,,Lakhs
12,ReportingQuarter,01-07-2022 To 30-09-2022,,,Half yearly
13,IsCompanyReportingMultisegmentOrSingleSegment,01-07-2022 To 30-09-2022,,,Multi segment
14,DateOfStartOfBoardMeeting,01-07-2022 To 30-09-2022,,,2022-11-12
15,StartTimeOfBoardMeeting,01-07-2022 To 30-09-2022,,,16:00:00
16,DateOfEndOfBoardMeeting,01-07-2022 To 30-09-2022,,,2022-11-12
17,EndTimeOfBoardMeeting,01-07-2022 To 30-09-2022,,,17:40:00
18,WhetherCashFlowStatementIsApplicableOnCompany,01-07-2022 To 30-09-2022,,,true
19,TypeOfCashFlowStatement,01-07-2022 To 30-09-2022,,,Cash Flow Indirect
20,DeclarationOfUnmodifiedOpinionOrStatementOnImpactOfAuditQualification,01-07-2022 To 30-09-2022,,,Not applicable
21,DateOfStartOfReportingPeriod,01-07-2022 To 30-09-2022,,,2022-07-01
22,DateOfEndOfReportingPeriod,01-07-2022 To 30-09-2022,,,2022-09-30
23,WhetherResultsAreAuditedOrUnaudited,01-07-2022 To 30-09-2022,,,Unaudited
24,NatureOfReportStandaloneConsolidated,01-07-2022 To 30-09-2022,,,Consolidated
25,RevenueFromOperations,01-07-2022 To 30-09-2022,OneD,-5.0,19539600000
26,OtherIncome,01-07-2022 To 30-09-2022,OneD,-5.0,533400000
27,Income,01-07-2022 To 30-09-2022,OneD,-5.0,20073000000
28,CostOfMaterialsConsumed,01-07-2022 To 30-09-2022,OneD,-5.0,10264400000
29,PurchasesOfStockInTrade,01-07-2022 To 30-09-2022,OneD,-5.0,262800000
30,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,01-07-2022 To 30-09-2022,OneD,-5.0,-9000000
31,EmployeeBenefitExpense,01-07-2022 To 30-09-2022,OneD,-5.0,1386400000
32,FinanceCosts,01-07-2022 To 30-09-2022,OneD,-5.0,3127700000
33,DepreciationDepletionAndAmortisationExpense,01-07-2022 To 30-09-2022,OneD,-5.0,1446700000
34,OtherExpenses,01-07-2022 To 30-09-2022,OneD,-5.0,7264000000
35,Expenses,01-07-2022 To 30-09-2022,OneD,-5.0,23743000000
36,ProfitBeforeExceptionalItemsAndTax,01-07-2022 To 30-09-2022,OneD,-5.0,-3670000000
37,ExceptionalItemsBeforeTax,01-07-2022 To 30-09-2022,OneD,-5.0,0
38,ProfitBeforeTax,01-07-2022 To 30-09-2022,OneD,-5.0,-3670000000
39,CurrentTax,01-07-2022 To 30-09-2022,OneD,-5.0,20400000
40,DeferredTax,01-07-2022 To 30-09-2022,OneD,-5.0,-108700000
41,TaxExpense,01-07-2022 To 30-09-2022,OneD,-5.0,-88300000
42,NetMovementInRegulatoryDeferralAccountBalancesRelatedToProfitOrLossAndTheRelatedDeferredTaxMovement,01-07-2022 To 30-09-2022,OneD,-5.0,0
43,ProfitLossForPeriodFromContinuingOperations,01-07-2022 To 30-09-2022,OneD,-5.0,-3581700000
44,ProfitLossFromDiscontinuedOperationsBeforeTax,01-07-2022 To 30-09-2022,OneD,-5.0,0
45,TaxExpenseOfDiscontinuedOperations,01-07-2022 To 30-09-2022,OneD,-5.0,0
46,ProfitLossFromDiscontinuedOperationsAfterTax,01-07-2022 To 30-09-2022,OneD,-5.0,0
47,ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,01-07-2022 To 30-09-2022,OneD,-5.0,181200000
48,ProfitLossForPeriod,01-07-2022 To 30-09-2022,OneD,-5.0,-3400500000
49,OtherComprehensiveIncomeNetOfTaxes,01-07-2022 To 30-09-2022,OneD,-5.0,1600000
50,ComprehensiveIncomeForThePeriod,01-07-2022 To 30-09-2022,OneD,-5.0,-3398900000
51,ProfitOrLossAttributableToOwnersOfParent,01-07-2022 To 30-09-2022,OneD,-5.0,-3347000000
52,ProfitOrLossAttributableToNonControllingInterests,01-07-2022 To 30-09-2022,OneD,-5.0,-53500000
53,ComprehensiveIncomeForThePeriodAttributableToOwnersOfParent,01-07-2022 To 30-09-2022,OneD,-5.0,-3345500000
54,ComprehensiveIncomeForThePeriodAttributableToOwnersOfParentNonControllingInterests,01-07-2022 To 30-09-2022,OneD,-5.0,-53400000
55,PaidUpValueOfEquityShareCapital,01-07-2022 To 30-09-2022,OneD,-5.0,4909200000
56,FaceValueOfEquityShareCapital,01-07-2022 To 30-09-2022,OneD,,2
57,BasicEarningsLossPerShareFromContinuingOperations,01-07-2022 To 30-09-2022,OneD,,-1.37
58,DilutedEarningsLossPerShareFromContinuingOperations,01-07-2022 To 30-09-2022,OneD,,-1.37
59,BasicEarningsLossPerShareFromDiscontinuedOperations,01-07-2022 To 30-09-2022,OneD,,0
60,DilutedEarningsLossPerShareFromDiscontinuedOperations,01-07-2022 To 30-09-2022,OneD,,0
61,BasicEarningsLossPerShareFromContinuingAndDiscontinuedOperations,01-07-2022 To 30-09-2022,OneD,,-1.37
62,DilutedEarningsLossPerShareFromContinuingAndDiscontinuedOperations,01-07-2022 To 30-09-2022,OneD,,-1.37
63,DateOfStartOfReportingPeriod,01-04-2022 To 30-09-2022,,,2022-04-01
64,DateOfEndOfReportingPeriod,01-04-2022 To 30-09-2022,,,2022-09-30
65,WhetherResultsAreAuditedOrUnaudited,01-04-2022 To 30-09-2022,,,Unaudited
66,NatureOfReportStandaloneConsolidated,01-04-2022 To 30-09-2022,,,Consolidated
67,RevenueFromOperations,01-04-2022 To 30-09-2022,FourD,-5.0,37937200000
68,OtherIncome,01-04-2022 To 30-09-2022,FourD,-5.0,953400000
69,Income,01-04-2022 To 30-09-2022,FourD,-5.0,38890600000
70,CostOfMaterialsConsumed,01-04-2022 To 30-09-2022,FourD,-5.0,20518500000
71,PurchasesOfStockInTrade,01-04-2022 To 30-09-2022,FourD,-5.0,414700000
72,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,01-04-2022 To 30-09-2022,FourD,-5.0,-317700000
73,EmployeeBenefitExpense,01-04-2022 To 30-09-2022,FourD,-5.0,2810100000
74,FinanceCosts,01-04-2022 To 30-09-2022,FourD,-5.0,6106800000
75,DepreciationDepletionAndAmortisationExpense,01-04-2022 To 30-09-2022,FourD,-5.0,2863600000
76,OtherExpenses,01-04-2022 To 30-09-2022,FourD,-5.0,14291800000
77,Expenses,01-04-2022 To 30-09-2022,FourD,-5.0,46687800000
78,ProfitBeforeExceptionalItemsAndTax,01-04-2022 To 30-09-2022,FourD,-5.0,-7797200000
79,ExceptionalItemsBeforeTax,01-04-2022 To 30-09-2022,FourD,-5.0,0
80,ProfitBeforeTax,01-04-2022 To 30-09-2022,FourD,-5.0,-7797200000
81,CurrentTax,01-04-2022 To 30-09-2022,FourD,-5.0,39900000
82,DeferredTax,01-04-2022 To 30-09-2022,FourD,-5.0,130200000
83,TaxExpense,01-04-2022 To 30-09-2022,FourD,-5.0,170100000
84,NetMovementInRegulatoryDeferralAccountBalancesRelatedToProfitOrLossAndTheRelatedDeferredTaxMovement,01-04-2022 To 30-09-2022,FourD,-5.0,0
85,ProfitLossForPeriodFromContinuingOperations,01-04-2022 To 30-09-2022,FourD,-5.0,-7967300000
